lapp_id,woe_end_use,woe_job_type,cibil_loan_closed_unsecured_count_outlier_ob_woe,cibil_loan_closed_unsecured_disbursed_amt_sum_outlier_ob_woe,cibil_loan_active_personal_loan_tenure_avg_outlier_ob_woe,total_outflow_outlier_ob_woe,woe_educational_qualification,cibil_score_outlier_ob_woe,cibil_loan_active_count_outlier_ob_woe,cibil_loan_closed_credit_card_count_outlier_ob_woe,cibil_loan_closed_consumer_loan_count_outlier_ob_woe,cibil_enquiry_na_disbursed_amt_avg_outlier_ob_woe,cibil_loan_active_disbursed_amt_sum_outlier_ob_woe,avg_3m_ncf_outlier_ob_woe,woe_preferred_agreement_method,cibil_loan_active_instalment_amount_sum_outlier_ob_woe,cibil_loan_closed_consumer_loan_disbursed_amt_avg_outlier_ob_woe,woe_employment_year,total_3m_ncf_outlier_ob_woe,cibil_loan_active_tenure_avg_outlier_ob_woe,crif_loans_to_enquiries_outlier_ob_woe,cibil_loan_active_overdue_amt_sum_outlier_ob_woe,cibil_loan_closed_personal_loan_tenure_avg_outlier_ob_woe,woe_home_stay_duration,no_of_dependents_outlier_ob_woe,avg_3m_other_debit_sum_outlier_ob_woe,age_outlier_ob_woe,cibil_loan_closed_secured_tenure_avg_outlier_ob_woe,shift_1m_upi_credit_sum_outlier_ob_woe,non_financial_credit_score_outlier_ob_woe,crif_loan_closed_instalment_amount_sum_outlier_ob_woe,total_3m_upi_credit_sum_outlier_ob_woe,avg_3m_emi_debit_sum_outlier_ob_woe,cibil_loans_to_enquiries_outlier_ob_woe,total_3m_emi_debit_sum_outlier_ob_woe,employment_duration_outlier_ob_woe,cibil_loan_active_current_bal_sum_outlier_ob_woe,avg_3m_closing_balance_outlier_ob_woe,cibil_loan_active_disbursed_amt_avg_outlier_ob_woe,woe_kyc_method,trend_m2_m3_salary_credit_count_outlier_ob_woe,crif_score_outlier_ob_woe,crif_loan_active_count_outlier_ob_woe,avg_balance_m2_outlier_ob_woe,trend_m2_m3_upi_debit_sum_outlier_ob_woe,income_to_age_ratio_outlier_ob_woe,total_3m_bounce_debit_count_outlier_ob_woe,trend_m1_m2_closing_balance_outlier_ob_woe,shift_1m_other_debit_sum_outlier_ob_woe,avg_3m_credit_count_outlier_ob_woe,trend_m1_m2_pos_expense_debit_count_outlier_ob_woe,crif_loan_active_current_bal_sum_outlier_ob_woe
APP1693489695605937,13.98805257,20,18.24261188,20,5,20,20,19.51701368,19.52015528,20,5,11.33866038,20,5,20,5,5,17.81013554,5,5,5,5,17.71355162,5,5,5,18.53736925,20,5,13.18769443,5,5,6.068468637,18.11592958,6.049953781,14.07745166,19.30591987,5,20,18.57076852,5,5,5,5,5,20,5,5,5,5.423861422,5,5
APP1690762429379292,13.98805257,20,18.24261188,17.96778858,16.00320023,14.19961378,15.86364706,20,17.28213613,19.83920695,5,11.68392685,19.19065418,12.56360721,20,5,5,20,12.16876606,20,5,5,17.71355162,20,20,10.11439076,18.53736925,5,15.77830219,13.18769443,5,20,18.46701027,20,18.62988966,14.07745166,18.03431063,17.36898549,20,5,20,5,5,5,5,5,20,5,20,5.423861422,20,5
APP1682495878523424,13.98805257,20,20,15.89752543,18.06472886,17.3451397,20,19.51701368,18.5471797,5,14.02923551,20,20,11.92462163,20,5,20,17.3372325,5,16.8864047,20,5,17.71355162,5,20,5,18.53736925,20,15.77830219,13.18769443,5,20,6.068468637,20,6.049953781,5,19.30591987,20,20,18.57076852,20,20,20,5,20,20,20,5,19.52906061,5.423861422,20,20
APP1687882829407485,13.98805257,20,16.13141881,17.96778858,16.00320023,17.4221114,15.86364706,20,20,5,5,20,20,20,5,20,5,20,20,16.8864047,5,5,17.71355162,5,5,20,20,5,15.77830219,16.68994094,5,20,6.068468637,20,6.049953781,5,19.30591987,5,20,18.57076852,5,5,5,5,20,5,20,5,19.52906061,5.423861422,20,5
APP1693298838992615,13.98805257,20,20,20,20,5,15.86364706,20,18.5471797,20,20,11.68392685,20,11.92462163,20,5,20,20,5,16.8864047,5,5,17.71355162,17.86157543,5,20,18.53736925,5,15.77830219,13.18769443,5,20,20,20,20,12.98900889,19.30591987,17.36898549,20,18.57076852,20,5,5,5,5,5,20,20,20,20,20,5
APP1683683894586196,20,20,18.24261188,13.95006173,5,20,15.86364706,19.86644689,20,5,20,11.33866038,20,20,5,5,17.98962557,17.81013554,20,20,5,5,18.80543055,5,5,20,18.53736925,5,15.77830219,5,5,5,6.068468637,19.68110896,6.049953781,5,19.30591987,20,20,5,20,5,5,5,20,5,20,5,20,5.423861422,5,5
APP1683348060879115,20,20,18.24261188,17.96778858,18.06472886,17.4221114,15.86364706,20,19.52015528,20,14.02923551,11.68392685,20,12.56360721,20,5,20,20,12.16876606,16.8864047,18.86246405,5,20,5,5,5,20,5,15.77830219,13.18769443,5,20,12.95809766,18.11592958,12.91882292,5,19.30591987,17.36898549,20,5,20,20,20,5,5,5,20,20,14.46261847,5.423861422,20,20
APP1681339006093137,13.98805257,20,18.24261188,17.96778858,17.42630819,5,20,20,20,5,20,20,19.19065418,20,5,5,17.98962557,20,20,20,20,5,17.71355162,17.86157543,20,20,18.53736925,5,20,13.18769443,5,5,6.068468637,20,6.049953781,5,19.30591987,20,19.3821797,18.57076852,20,20,20,20,20,5,20,20,5,5.423861422,20,20
APP1693935854947780,13.98805257,20,18.24261188,15.89752543,20,5,20,19.51701368,19.52015528,19.83920695,20,11.68392685,20,20,20,5,17.98962557,17.81013554,20,16.8864047,5,5,17.71355162,5,14.24464052,10.11439076,18.53736925,5,15.77830219,5,5,20,6.068468637,19.68110896,6.049953781,12.98900889,19.30591987,20,20,18.57076852,20,5,5,5,5,5,20,20,20,20,20,5
APP1679870306502560,13.98805257,20,16.13141881,13.95006173,5,20,15.86364706,19.86644689,17.28213613,20,14.02923551,11.33866038,15.81486159,20,20,5,17.98962557,20,20,5,17.24945534,5,18.80543055,16.48176529,14.24464052,5,18.53736925,5,15.77830219,5,5,20,18.46701027,20,18.62988966,5,15.8713736,17.36898549,19.3821797,18.57076852,20,20,20,5,5,5,20,5,5,20,20,17.93481052
APP1678708857467764,13.98805257,20,16.13141881,13.95006173,18.06472886,5,15.86364706,20,20,20,20,11.68392685,19.19065418,5,20,5,17.98962557,20,5,20,18.86246405,5,5,20,5,5,18.53736925,5,5,5,5,5,6.068468637,19.68110896,6.049953781,12.98900889,20,5,19.3821797,5,5,20,20,5,5,5,5,5,5,5.423861422,5,20
APP1691236065914753,15.34263777,20,18.24261188,17.96778858,18.06472886,17.3451397,15.86364706,20,20,5,14.02923551,11.68392685,20,20,20,5,20,20,20,20,5,5,20,5,14.24464052,20,18.53736925,5,18.53523604,13.18769443,5,20,18.46701027,19.68110896,18.62988966,12.98900889,19.30591987,20,20,18.57076852,20,5,5,20,5,5,20,5,5,5.423861422,20,5
APP1682405042378379,16.82949769,20,20,20,18.06472886,20,15.86364706,20,20,5,14.02923551,11.33866038,20,20,5,20,20,17.81013554,20,20,20,20,17.71355162,5,5,6.748739968,18.53736925,5,15.77830219,13.18769443,20,20,20,19.68110896,20,12.98900889,19.30591987,17.36898549,20,18.57076852,20,5,20,20,20,20,20,20,20,5.423861422,20,20
APP1681883054599064,13.98805257,20,20,20,16.00320023,20,15.86364706,20,18.5471797,20,14.02923551,20,20,11.1477103,20,5,20,17.81013554,10.3330662,20,20,5,17.71355162,5,5,5,18.53736925,20,20,13.18769443,20,5,18.46701027,19.68110896,18.62988966,5,19.30591987,20,20,18.57076852,20,20,20,20,5,20,20,5,5,5.423861422,20,20
APP1687587769431438,20,20,18.24261188,20,5,17.3451397,20,19.51701368,18.5471797,20,20,5,20,20,20,5,20,20,20,5,5,5,17.71355162,5,20,20,18.53736925,5,15.77830219,13.18769443,5,5,6.068468637,19.68110896,6.049953781,12.98900889,19.30591987,17.36898549,20,5,20,5,5,20,5,5,5,5,20,5.423861422,20,5
APP1679067698426311,13.98805257,20,18.24261188,17.96778858,20,20,15.86364706,20,20,20,14.02923551,5,20,20,5,5,20,20,20,18.63003355,20,5,5,5,5,20,5,20,18.53523604,5,5,5,20,19.68110896,20,14.07745166,19.30591987,20,20,5,20,20,20,5,5,5,20,5,20,5.423861422,20,20
APP1691671935075326,13.98805257,20,20,17.96778858,20,5,15.86364706,19.51701368,17.28213613,19.83920695,14.02923551,11.68392685,20,5,5,5,19.29948526,20,5,16.8864047,5,5,18.80543055,5,5,5,18.53736925,5,5,13.18769443,5,5,6.068468637,19.68110896,6.049953781,12.98900889,19.30591987,5,20,18.57076852,5,5,5,5,5,5,5,5,5,5.423861422,5,5
APP1682081243248124,16.82949769,20,16.13141881,17.96778858,20,20,20,20,19.52015528,5,14.02923551,11.33866038,20,12.56360721,20,5,20,17.3372325,12.16876606,18.63003355,5,5,17.71355162,5,14.24464052,5,18.53736925,5,15.70636525,5,5,20,6.068468637,18.11592958,6.049953781,5,19.30591987,20,20,20,20,20,5,20,5,20,20,5,19.52906061,5,20,5
